,min,max,average
0,2054.0,2349.0,2291.2666666666664
1,2054.0,2349.0,2264.3133333333335
2,2054.0,2349.0,2241.150000000001
3,2040.6666666666667,2347.3333333333335,2205.7033333333347
4,1880.0,2282.0,2171.330000000001
5,1880.0,2271.333333333333,2149.613333333333
6,1880.0,2219.666666666667,2132.9233333333336
7,1880.0,2210.0,2117.1266666666675
8,1880.0,2150.333333333333,2100.873333333334
9,1880.0,2128.333333333333,2098.6766666666667
10,1880.0,2126.0,2095.54
11,1880.0,2118.0,2092.096666666667
12,1880.0,2112.0,2089.706666666667
13,1880.0,2112.0,2087.3233333333337
14,1880.0,2112.0,2086.493333333334
15,1880.0,2112.0,2083.413333333333
16,1880.0,2112.0,2078.4399999999987
17,1880.0,2112.0,2073.8499999999985
18,1862.0,2112.0,2068.9899999999984
19,1862.0,2099.6666666666665,2061.509999999999
20,1862.0,2096.666666666667,2057.5366666666664
21,1862.0,2086.0,2054.2766666666666
22,1862.0,2086.0,2052.3966666666665
23,1862.0,2086.0,2051.213333333333
24,1862.0,2086.0,2049.753333333333
25,1862.0,2086.0,2049.463333333333
26,1862.0,2086.0,2047.4
27,1862.0,2086.0,2044.84
28,1862.0,2085.0,2043.29
29,1862.0,2085.0,2041.0866666666666
30,1862.0,2085.0,2040.4666666666665
31,1862.0,2085.0,2038.2366666666667
32,1862.0,2085.0,2036.5066666666667
33,1862.0,2085.0,2034.58
34,1862.0,2085.0,2033.97
35,1862.0,2081.0,2031.8633333333332
36,1862.0,2081.0,2031.323333333333
37,1862.0,2059.0,2030.3066666666666
38,1862.0,2059.0,2028.813333333333
39,1862.0,2054.0,2025.2666666666669
40,1862.0,2054.0,2024.3366666666668
41,1862.0,2054.0,2020.5933333333337
42,1862.0,2054.0,2017.5733333333337
43,1862.0,2054.0,2015.506666666667
44,1862.0,2054.0,2013.3266666666668
45,1862.0,2054.0,2010.3733333333337
46,1862.0,2054.0,2006.0200000000007
47,1862.0,2054.0,2005.2333333333338
48,1862.0,2054.0,2005.0900000000006
49,1862.0,2054.0,2003.1700000000005
